customer_id,first_name,last_name,email,age,gender,city,state,signup_date,customer_segment,loyalty_tier
CUST00001,Robert,Rodriguez,barbara.anderson710@email.com,60,F,Phoenix,OH,2023-02-22,Unknown,Platinum
CUST00002,Elizabeth,Garcia,anthony.lewis19@email.com,72,F,Charlotte,TX,2023-02-02,Unknown,Bronze
CUST00003,Donald,Hernandez,john.smith237@email.com,31,Other,Houston,TX,2020-08-24,Unknown,Silver
CUST00004,Joseph,Perez,michael.martinez277@email.com,30,Other,San Antonio,NC,2021-10-14,Unknown,Silver
CUST00005,James,White,michael.rodriguez552@email.com,37,M,Columbus,TX,2020-06-06,Unknown,Gold
CUST00006,Lisa,Perez,michael.harris639@email.com,43,F,San Jose,PA,2024-02-06,Unknown,Gold
CUST00007,Donald,Smith,richard.garcia55@email.com,44,F,San Antonio,TX,2022-06-26,Unknown,Platinum
CUST00008,Daniel,Brown,elizabeth.martin684@email.com,42,M,San Diego,CA,2024-03-08,Unknown,Bronze
CUST00009,Robert,Gonzalez,richard.johnson981@email.com,26,M,Houston,TX,2022-08-18,Unknown,Bronze
CUST00010,Karen,Thompson,jessica.thompson368@email.com,58,M,Houston,NC,2023-07-21,Unknown,Bronze
CUST00011,Charles,Gonzalez,matthew.garcia371@email.com,65,F,San Jose,AZ,2022-05-02,Unknown,Silver
CUST00012,Matthew,Gonzalez,daniel.gonzalez497@email.com,29,M,Phoenix,IL,2023-02-14,Unknown,Bronze
CUST00013,James,Johnson,matthew.rodriguez849@email.com,27,F,Phoenix,CA,2022-06-04,Unknown,Gold
CUST00014,James,Rodriguez,donald.johnson275@email.com,23,F,Austin,CA,2024-05-16,Unknown,Bronze
CUST00015,Jessica,White,charles.white903@email.com,67,F,Chicago,NY,2024-04-08,Unknown,Bronze
CUST00016,Daniel,Davis,susan.martinez42@email.com,51,M,Phoenix,NC,2020-02-29,Unknown,Silver
CUST00017,Sarah,Miller,mark.martin329@email.com,69,M,Phoenix,CA,2021-02-04,Unknown,Gold
CUST00018,Lisa,Brown,thomas.clark943@email.com,58,M,San Diego,FL,2022-04-07,Unknown,Bronze
CUST00019,Jessica,Moore,jane.robinson612@email.com,36,M,San Antonio,TX,2023-04-18,Unknown,Gold
CUST00020,Michael,Williams,charles.taylor837@email.com,23,F,San Diego,TX,2023-06-09,Unknown,Silver
CUST00021,Susan,Ramirez,robert.moore373@email.com,19,F,Fort Worth,PA,2021-04-20,Unknown,Bronze
CUST00022,Daniel,Garcia,susan.clark967@email.com,32,M,Phoenix,FL,2021-10-16,Unknown,Bronze
CUST00023,Jane,Lopez,thomas.miller548@email.com,34,F,Jacksonville,AZ,2022-04-24,Unknown,Gold
CUST00024,Jessica,Lopez,lisa.gonzalez388@email.com,33,M,Austin,OH,2022-07-12,Unknown,Bronze
CUST00025,Mary,Lee,emily.harris709@email.com,45,M,Los Angeles,TX,2023-06-22,Unknown,Platinum
CUST00026,Margaret,Ramirez,margaret.lopez196@email.com,38,F,San Diego,CA,2024-06-04,Unknown,Silver
CUST00027,Emily,Davis,jessica.lewis969@email.com,25,M,Dallas,FL,2021-09-29,Unknown,Bronze
CUST00028,Jane,Perez,sarah.jackson664@email.com,27,F,Los Angeles,TX,2021-10-10,Unknown,Bronze
CUST00029,Nancy,Perez,patricia.jones146@email.com,27,F,Columbus,OH,2024-05-10,Unknown,Bronze
CUST00030,Daniel,Smith,jennifer.harris723@email.com,67,F,New York,TX,2020-07-31,Unknown,Silver
CUST00031,John,Brown,mary.moore529@email.com,27,M,Jacksonville,CA,2024-06-17,Unknown,Silver
CUST00032,Mary,Lee,margaret.white715@email.com,26,M,Philadelphia,TX,2024-01-22,Unknown,Gold
CUST00033,Karen,Ramirez,michael.thompson209@email.com,45,M,Chicago,TX,2022-09-16,Unknown,Bronze
CUST00034,Susan,Hernandez,john.anderson288@email.com,41,Other,New York,AZ,2022-03-14,Unknown,Bronze
CUST00035,Donald,Williams,nancy.rodriguez271@email.com,36,M,Fort Worth,FL,2020-05-07,Unknown,Bronze
CUST00036,Mary,Gonzalez,nancy.white700@email.com,50,M,Philadelphia,CA,2022-08-09,Unknown,Bronze
CUST00037,Anthony,Harris,donald.williams726@email.com,21,F,Jacksonville,AZ,2020-08-04,Unknown,Silver
CUST00038,Thomas,Taylor,mark.jackson365@email.com,73,F,San Diego,IL,2021-12-11,Unknown,Platinum
CUST00039,Mark,Perez,mary.martin321@email.com,20,F,Dallas,TX,2020-01-20,Unknown,Silver
CUST00040,Mark,Perez,daniel.taylor109@email.com,59,Other,Fort Worth,TX,2024-05-09,Unknown,Gold
CUST00041,Jennifer,Martinez,john.martinez47@email.com,29,M,Philadelphia,TX,2024-11-16,Unknown,Bronze
CUST00042,Nancy,Lee,mark.clark96@email.com,35,M,Jacksonville,AZ,2024-11-21,Unknown,Bronze
CUST00043,Nancy,Lopez,margaret.miller892@email.com,40,M,Philadelphia,FL,2022-12-19,Unknown,Bronze
CUST00044,Linda,Anderson,susan.moore880@email.com,37,M,New York,TX,2021-11-05,Unknown,Bronze
CUST00045,Joseph,Lee,patricia.clark732@email.com,23,F,Phoenix,CA,2021-12-14,Unknown,Silver
CUST00046,Margaret,Martinez,barbara.clark679@email.com,70,M,Chicago,CA,2022-01-08,Unknown,Bronze
CUST00047,Margaret,Wilson,thomas.lewis82@email.com,51,F,San Antonio,TX,2023-02-26,Unknown,Gold
CUST00048,Joseph,Gonzalez,mary.davis822@email.com,59,M,Jacksonville,NC,2021-07-10,Unknown,Platinum
CUST00049,Margaret,Jones,margaret.johnson839@email.com,19,M,Dallas,TX,2020-07-15,Unknown,Bronze
CUST00050,Charles,Garcia,sarah.moore508@email.com,47,F,Fort Worth,FL,2022-07-24,Unknown,Gold
CUST00051,Mary,White,emily.clark511@email.com,26,M,Austin,TX,2024-02-24,Unknown,Silver
CUST00052,Matthew,Johnson,william.clark713@email.com,44,F,Philadelphia,AZ,2021-11-08,Unknown,Bronze
CUST00053,Elizabeth,Perez,patricia.davis255@email.com,59,Other,Phoenix,CA,2021-05-18,Unknown,Platinum
CUST00054,Anthony,Taylor,charles.williams594@email.com,51,F,San Antonio,AZ,2023-06-24,Unknown,Bronze
CUST00055,Michael,Brown,david.wilson732@email.com,57,M,Austin,NY,2022-01-07,Unknown,Gold
CUST00056,David,Wilson,margaret.brown167@email.com,41,F,Dallas,CA,2022-03-02,Unknown,Bronze
CUST00057,Charles,Martinez,elizabeth.harris412@email.com,66,M,Phoenix,NC,2023-07-07,Unknown,Bronze
CUST00058,Robert,Williams,mary.johnson235@email.com,34,F,Charlotte,IL,2023-10-02,Unknown,Silver
CUST00059,Daniel,Harris,patricia.perez159@email.com,46,M,Phoenix,IL,2020-07-15,Unknown,Gold
CUST00060,William,Williams,matthew.thomas404@email.com,53,M,San Jose,CA,2023-02-04,Unknown,Bronze
CUST00061,Robert,Anderson,donald.garcia311@email.com,67,Other,Houston,PA,2022-02-19,Unknown,Bronze
CUST00062,Barbara,Garcia,sarah.anderson88@email.com,29,M,Phoenix,TX,2022-01-13,Unknown,Silver
CUST00063,Sarah,Taylor,anthony.smith135@email.com,48,F,San Antonio,CA,2024-06-24,Unknown,Bronze
CUST00064,Anthony,Lopez,anthony.lopez618@email.com,66,M,Chicago,NY,2023-03-29,Unknown,Silver
CUST00065,Nancy,Perez,david.lopez178@email.com,26,F,Houston,PA,2021-02-25,Unknown,Gold
CUST00066,Patricia,Martin,jennifer.garcia380@email.com,36,Other,Dallas,TX,2024-06-18,Unknown,Gold
CUST00067,Barbara,White,mary.miller658@email.com,63,M,Charlotte,TX,2023-05-15,Unknown,Gold
CUST00068,Karen,Lewis,jane.martinez463@email.com,63,F,Jacksonville,CA,2023-08-29,Unknown,Platinum
CUST00069,William,Hernandez,margaret.lopez122@email.com,34,F,Los Angeles,IL,2021-03-07,Unknown,Gold
CUST00070,Karen,Harris,thomas.brown327@email.com,19,F,San Diego,TX,2022-07-14,Unknown,Platinum
CUST00071,Daniel,Brown,margaret.rodriguez479@email.com,57,M,Dallas,PA,2020-08-22,Unknown,Bronze
CUST00072,Jane,Sanchez,charles.ramirez503@email.com,22,F,Phoenix,PA,2020-11-22,Unknown,Silver
CUST00073,Elizabeth,Ramirez,robert.thompson674@email.com,56,M,San Antonio,TX,2022-07-22,Unknown,Platinum
CUST00074,Nancy,Sanchez,emily.moore486@email.com,71,M,Philadelphia,CA,2021-04-23,Unknown,Silver
CUST00075,Joseph,Garcia,richard.sanchez179@email.com,65,M,New York,NC,2021-03-03,Unknown,Gold
CUST00076,Nancy,Smith,margaret.johnson556@email.com,33,F,Charlotte,AZ,2021-10-27,Unknown,Bronze
CUST00077,Robert,Martin,joseph.wilson326@email.com,34,F,San Diego,NY,2023-01-28,Unknown,Gold
CUST00078,Mary,Thompson,barbara.jones416@email.com,71,M,Dallas,TX,2023-06-15,Unknown,Silver
CUST00079,Donald,Ramirez,michael.williams214@email.com,44,F,San Jose,TX,2023-02-04,Unknown,Bronze
